ds,y
2022-11-22,689.9500122070312
2022-11-23,715.5999755859375
2022-11-24,730.0999755859375
2022-11-25,745.1500244140625
2022-11-28,749.9000244140625
2022-11-29,733.9500122070312
2022-11-30,725.1500244140625
2022-12-01,739.4500122070312
2022-12-02,740.2000122070312
2022-12-05,741.9500122070312
2022-12-06,739.9000244140625
2022-12-07,759.5499877929688
2022-12-08,746.1500244140625
2022-12-09,727.1500244140625
2022-12-12,730.7999877929688
2022-12-13,726.0
2022-12-14,734.8499755859375
2022-12-15,721.9500122070312
2022-12-16,705.25
2022-12-19,694.25
2022-12-20,700.5999755859375
2022-12-21,703.1500244140625
2022-12-22,702.25
2022-12-23,680.25
2022-12-26,703.8499755859375
2022-12-27,721.7000122070312
2022-12-28,737.75
2022-12-29,747.4500122070312
2022-12-30,750.9500122070312
2023-01-02,741.4500122070312
2023-01-03,738.3499755859375
2023-01-04,753.0499877929688
2023-01-05,746.3499755859375
2023-01-06,754.5999755859375
2023-01-09,772.5
2023-01-10,760.0499877929688
2023-01-11,764.7000122070312
2023-01-12,757.0
2023-01-13,760.4000244140625
2023-01-16,770.8499755859375
2023-01-17,768.7000122070312
2023-01-18,794.0
2023-01-19,800.5
2023-01-20,790.5999755859375
2023-01-23,798.5999755859375
2023-01-24,794.9000244140625
2023-01-25,763.5999755859375
2023-01-27,764.3499755859375
2023-01-30,769.5
2023-01-31,772.9000244140625
2023-02-01,808.7999877929688
2023-02-02,814.3499755859375
2023-02-03,829.1500244140625
2023-02-06,888.0499877929688
2023-02-07,899.5
2023-02-08,880.5999755859375
2023-02-09,882.75
2023-02-10,838.5
2023-02-13,898.5999755859375
2023-02-14,890.0499877929688
2023-02-15,902.25
2023-02-16,885.8499755859375
2023-02-17,870.1500244140625
2023-02-20,895.8499755859375
2023-02-21,938.0499877929688
2023-02-22,952.75
2023-02-23,944.6500244140624
2023-02-24,923.25
2023-02-27,875.8499755859375
2023-02-28,866.8499755859375
2023-03-01,872.5
2023-03-02,874.6500244140625
2023-03-03,878.5499877929688
2023-03-06,899.7000122070312
2023-03-08,912.5999755859376
2023-03-09,931.1500244140624
2023-03-10,956.75
2023-03-13,970.2999877929688
2023-03-14,932.0999755859376
2023-03-15,974.6500244140624
2023-03-16,951.4000244140624
2023-03-17,945.4000244140624
2023-03-20,941.9000244140624
2023-03-21,960.4000244140624
2023-03-22,961.3499755859376
2023-03-23,953.0
2023-03-24,944.0499877929688
2023-03-27,946.3499755859376
2023-03-28,957.5
2023-03-29,963.9000244140624
2023-03-31,962.7999877929688
2023-04-03,1039.0
2023-04-05,991.0
2023-04-06,964.4000244140624
2023-04-10,939.5499877929688
2023-04-11,973.1500244140624
2023-04-12,959.2999877929688
2023-04-13,954.7999877929688
2023-04-17,970.5999755859376
2023-04-18,958.5
2023-04-19,942.9000244140624
2023-04-20,942.0999755859376
2023-04-21,943.8499755859376
2023-04-24,961.0
2023-04-25,960.7999877929688
2023-04-26,969.2999877929688
2023-04-27,978.2999877929688
2023-04-28,987.4500122070312
2023-05-02,998.75
2023-05-03,1003.5999755859376
2023-05-04,1021.7000122070312
2023-05-05,999.0
2023-05-08,978.7999877929688
2023-05-09,967.0999755859376
2023-05-10,974.5
2023-05-11,1009.4500122070312
2023-05-12,1018.75
2023-05-15,996.9000244140624
2023-05-16,998.9500122070312
2023-05-17,1169.300048828125
2023-05-18,1136.0
2023-05-19,1186.800048828125
2023-05-22,1306.949951171875
2023-05-23,1276.800048828125
2023-05-24,1323.25
2023-05-25,1310.449951171875
2023-05-26,1323.1500244140625
2023-05-29,1319.300048828125
2023-05-30,1371.949951171875
2023-05-31,1430.699951171875
2023-06-01,1428.0999755859375
2023-06-02,1401.1500244140625
2023-06-05,1339.699951171875
2023-06-06,1418.5
2023-06-07,1436.6500244140625
2023-06-08,1449.449951171875
2023-06-09,1494.449951171875
2023-06-12,1529.550048828125
2023-06-13,1600.5
2023-06-14,1537.699951171875
2023-06-15,1529.449951171875
2023-06-16,1562.1500244140625
2023-06-19,1557.699951171875
2023-06-20,1580.550048828125
2023-06-21,1598.25
2023-06-22,1561.800048828125
2023-06-23,1499.0999755859375
2023-06-26,1521.050048828125
2023-06-27,1541.449951171875
2023-06-28,1532.449951171875
2023-06-30,1505.4000244140625
2023-07-03,1551.199951171875
2023-07-04,1576.050048828125
2023-07-05,1615.4000244140625
2023-07-06,1576.550048828125
2023-07-07,1605.699951171875
2023-07-10,1591.800048828125
2023-07-11,1662.300048828125
2023-07-12,1704.1500244140625
2023-07-13,1689.5999755859375
2023-07-14,1774.949951171875
2023-07-17,1844.949951171875
2023-07-18,1775.25
2023-07-19,1816.449951171875
2023-07-20,1817.199951171875
2023-07-21,1799.0999755859375
2023-07-24,1805.5999755859373
2023-07-25,1842.199951171875
2023-07-26,1848.9000244140625
2023-07-27,1836.449951171875
2023-07-28,1787.1500244140625
2023-07-31,1813.550048828125
2023-08-01,1735.0
2023-08-02,1769.800048828125
2023-08-03,1756.4000244140625
2023-08-04,1806.300048828125
2023-08-07,1806.3499755859373
2023-08-08,1815.3499755859373
2023-08-09,1783.550048828125
2023-08-10,1719.25
2023-08-11,1731.949951171875
2023-08-14,1750.25
2023-08-16,1719.3499755859375
2023-08-17,1749.699951171875
2023-08-18,1748.3499755859375
2023-08-21,1760.800048828125
2023-08-22,1770.1500244140625
2023-08-23,1798.0
2023-08-24,1856.800048828125
2023-08-25,1984.300048828125
2023-08-28,2007.550048828125
2023-08-29,1988.5
2023-08-30,1981.8499755859373
2023-08-31,2014.25
2023-09-01,1990.9000244140625
2023-09-04,1975.699951171875
2023-09-05,1960.9000244140625
2023-09-06,1911.550048828125
2023-09-07,1954.8499755859373
2023-09-08,2036.800048828125
2023-09-11,2202.300048828125
2023-09-12,2122.10009765625
2023-09-13,2008.6500244140625
2023-09-14,2075.300048828125
2023-09-15,2119.25
2023-09-18,2086.75
2023-09-20,2052.449951171875
2023-09-21,2067.85009765625
2023-09-22,2050.14990234375
2023-09-25,2119.550048828125
2023-09-26,2118.449951171875
2023-09-27,2229.25
2023-09-28,2244.5
2023-09-29,2300.300048828125
2023-10-03,2398.0
2023-10-04,2392.050048828125
2023-10-05,2491.5
2023-10-06,2549.699951171875
2023-10-09,2631.14990234375
2023-10-10,2689.89990234375
2023-10-11,2676.199951171875
2023-10-12,2713.699951171875
2023-10-13,2668.550048828125
2023-10-16,2626.89990234375
2023-10-17,2571.10009765625
2023-10-18,2509.050048828125
2023-10-19,2548.85009765625
2023-10-20,2456.050048828125
2023-10-23,2341.10009765625
2023-10-25,2311.85009765625
2023-10-26,2291.550048828125
2023-10-27,2379.25
2023-10-30,2376.449951171875
2023-10-31,2383.39990234375
2023-11-01,2331.5
2023-11-02,2363.85009765625
2023-11-03,2365.800048828125
2023-11-06,2455.35009765625
2023-11-07,2453.14990234375
2023-11-08,2476.60009765625
2023-11-09,2484.050048828125
2023-11-10,2448.199951171875
2023-11-13,2462.85009765625
2023-11-15,2446.64990234375
2023-11-16,2494.449951171875
2023-11-17,2492.449951171875
2023-11-20,2435.25
2023-11-21,2473.199951171875
2023-11-22,2491.14990234375
2023-11-23,2440.89990234375
2023-11-24,2450.14990234375
