ds,y
2024-08-13,679.0999755859375
2024-08-14,641.9500122070312
2024-08-16,669.9000244140625
2024-08-19,671.6500244140625
2024-08-20,632.0999755859375
2024-08-21,627.2999877929688
2024-08-22,642.0
2024-08-23,638.6500244140625
2024-08-26,625.9500122070312
2024-08-27,628.3499755859375
2024-08-28,623.4000244140625
2024-08-29,628.2999877929688
2024-08-30,640.5499877929688
2024-09-02,632.2000122070312
2024-09-03,625.1500244140625
2024-09-04,612.8499755859375
2024-09-05,614.0499877929688
2024-09-06,622.7999877929688
2024-09-09,601.7000122070312
2024-09-10,606.8499755859375
2024-09-11,639.3499755859375
2024-09-12,652.3499755859375
2024-09-13,655.75
2024-09-16,641.0999755859375
2024-09-17,639.75
2024-09-18,641.3499755859375
2024-09-19,645.75
2024-09-20,652.4500122070312
2024-09-23,653.0499877929688
2024-09-24,665.5
2024-09-25,657.9000244140625
2024-09-26,657.9500122070312
2024-09-27,625.75
2024-09-30,644.0
2024-10-01,646.2000122070312
2024-10-03,654.9000244140625
2024-10-04,653.0
2024-10-07,625.5
2024-10-08,642.6500244140625
2024-10-09,641.3499755859375
2024-10-10,672.25
2024-10-11,682.4000244140625
2024-10-14,718.25
2024-10-15,722.7999877929688
2024-10-16,697.3499755859375
2024-10-17,692.9000244140625
2024-10-18,682.4000244140625
2024-10-21,664.0
2024-10-22,632.7999877929688
2024-10-23,625.2000122070312
2024-10-24,638.4000244140625
2024-10-25,619.7999877929688
2024-10-28,616.7999877929688
2024-10-29,694.25
2024-10-30,654.7999877929688
2024-10-31,627.9000244140625
2024-11-01,635.2000122070312
2024-11-04,617.5499877929688
2024-11-05,616.9000244140625
2024-11-06,626.0
2024-11-07,590.9000244140625
2024-11-08,564.4500122070312
2024-11-11,526.4000244140625
2024-11-12,530.3499755859375
2024-11-13,518.4500122070312
2024-11-14,519.0499877929688
2024-11-18,547.0999755859375
2024-11-19,553.5
2024-11-21,564.9000244140625
2024-11-22,545.4000244140625
2024-11-25,543.4500122070312
2024-11-26,571.9500122070312
2024-11-27,587.7000122070312
2024-11-28,609.9000244140625
2024-11-29,604.3499755859375
2024-12-02,595.7000122070312
2024-12-03,608.2000122070312
2024-12-04,605.5499877929688
2024-12-05,589.4000244140625
2024-12-06,591.2000122070312
2024-12-09,588.5
2024-12-10,587.4000244140625
2024-12-11,599.4500122070312
2024-12-12,605.2999877929688
2024-12-13,590.4500122070312
2024-12-16,616.1500244140625
2024-12-17,607.0
2024-12-18,624.0499877929688
2024-12-19,606.1500244140625
2024-12-20,638.75
2024-12-23,614.8499755859375
2024-12-24,630.1500244140625
2024-12-26,638.0999755859375
2024-12-27,636.0999755859375
2024-12-30,617.9500122070312
2024-12-31,652.0499877929688
2025-01-01,650.2000122070312
2025-01-02,653.4000244140625
2025-01-03,649.0
2025-01-06,614.0499877929688
2025-01-07,608.75
2025-01-08,580.9500122070312
2025-01-09,554.7000122070312
2025-01-10,544.25
2025-01-13,502.3500061035156
2025-01-14,498.3999938964844
2025-01-15,486.0499877929688
2025-01-16,494.6000061035156
2025-01-17,490.5
2025-01-20,481.0
2025-01-21,461.7000122070313
2025-01-22,449.7999877929688
2025-01-23,480.6000061035156
2025-01-24,468.4500122070313
2025-01-27,460.5
2025-01-28,447.6499938964844
2025-01-29,463.75
2025-01-30,476.6499938964844
2025-01-31,477.8999938964844
2025-02-01,505.9500122070313
2025-02-03,469.1499938964844
2025-02-04,477.75
2025-02-05,475.25
2025-02-06,463.7999877929688
2025-02-07,418.3999938964844
2025-02-10,416.3500061035156
2025-02-11,418.3500061035156
2025-02-12,414.9500122070313
2025-02-13,410.1000061035156
2025-02-14,405.3500061035156
2025-02-17,387.8999938964844
2025-02-18,377.6000061035156
2025-02-19,392.8500061035156
2025-02-20,417.0499877929688
2025-02-21,405.1499938964844
2025-02-24,390.25
2025-02-25,388.7000122070313
2025-02-27,377.3500061035156
2025-02-28,376.5499877929688
2025-03-03,378.2000122070313
2025-03-04,363.7999877929688
2025-03-05,365.4500122070313
2025-03-06,413.5
2025-03-07,392.75
2025-03-10,370.5
2025-03-11,374.6000061035156
2025-03-12,380.1499938964844
2025-03-13,377.1000061035156
2025-03-17,370.1499938964844
2025-03-18,370.1499938964844
2025-03-19,376.9500122070313
2025-03-20,364.7000122070313
2025-03-21,364.7999877929688
2025-03-24,376.3500061035156
2025-03-25,371.6499938964844
2025-03-26,351.8500061035156
2025-03-27,388.5499877929688
2025-03-28,367.8999938964844
2025-04-01,367.1499938964844
2025-04-02,368.7999877929688
2025-04-03,368.3999938964844
2025-04-04,357.5
2025-04-07,321.3999938964844
2025-04-08,324.75
2025-04-09,317.0
2025-04-11,327.0
2025-04-15,338.45001220703125
2025-04-16,334.6000061035156
2025-04-17,348.6000061035156
2025-04-21,356.29998779296875
2025-04-22,366.6000061035156
2025-04-23,364.0
2025-04-24,353.29998779296875
2025-04-25,339.04998779296875
2025-04-28,334.45001220703125
2025-04-29,330.79998779296875
2025-04-30,339.25
2025-05-02,331.6499938964844
2025-05-05,330.5
2025-05-06,322.70001220703125
2025-05-07,326.5
2025-05-08,326.04998779296875
2025-05-09,320.1499938964844
2025-05-12,349.70001220703125
2025-05-13,344.1499938964844
2025-05-14,340.1000061035156
2025-05-15,349.54998779296875
2025-05-16,358.79998779296875
2025-05-19,351.45001220703125
