ds,y
2021-10-11,635.480712890625
2021-10-12,619.899169921875
2021-10-13,616.1741943359375
2021-10-14,633.39111328125
2021-10-18,621.3983154296875
2021-10-19,616.8102416992188
2021-10-20,601.5919799804688
2021-10-21,598.4575805664062
2021-10-22,598.4121704101562
2021-10-25,591.68896484375
2021-10-26,580.740966796875
2021-10-27,566.3405151367188
2021-10-28,572.427734375
2021-10-29,589.7355346679688
2021-11-01,592.6882934570312
2021-11-02,589.3720703125
2021-11-03,587.0809936523438
2021-11-04,592.3505859375
2021-11-08,579.5661010742188
2021-11-09,578.4205932617188
2021-11-10,573.7007446289062
2021-11-11,572.2802124023438
2021-11-12,567.9270629882812
2021-11-15,566.0025024414062
2021-11-16,558.4417724609375
2021-11-17,553.3554077148438
2021-11-18,536.034423828125
2021-11-22,545.0157470703125
2021-11-23,547.856689453125
2021-11-24,548.5440673828125
2021-11-25,545.3364868164062
2021-11-26,543.8701782226562
2021-11-29,527.786376953125
2021-11-30,528.9320068359375
2021-12-01,526.50341796875
2021-12-02,529.6651000976562
2021-12-03,532.8726806640625
2021-12-06,528.9320068359375
2021-12-07,528.79443359375
2021-12-08,533.8350219726562
2021-12-09,543.9617309570312
2021-12-10,540.2042846679688
2021-12-13,536.6759643554688
2021-12-14,532.1395263671875
2021-12-15,528.24462890625
2021-12-16,524.3954467773438
2021-12-17,504.9208068847656
2021-12-20,487.41650390625
2021-12-21,483.9797973632813
2021-12-22,483.475830078125
2021-12-23,480.0390319824219
2021-12-24,468.675048828125
2021-12-27,461.5266723632813
2021-12-28,480.0390319824219
2021-12-29,479.3517456054688
2021-12-30,481.1846008300781
2021-12-31,486.958251953125
2022-01-03,485.1253356933594
2022-01-04,490.853271484375
2022-01-05,495.5730285644531
2022-01-06,506.93701171875
2022-01-07,496.9018249511719
2022-01-10,501.9881896972656
2022-01-11,494.5648498535156
2022-01-12,505.42486572265625
2022-01-13,524.0747680664062
2022-01-14,537.5924072265625
2022-01-17,529.1151733398438
2022-01-18,516.5140380859375
2022-01-19,511.9775695800781
2022-01-20,503.4544372558594
2022-01-21,495.2063293457031
